CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Fort Pierce,Fort Pierce,5.1,6.0
Business,Fort Pierce,Fort Pierce,5.0,12.0
Business,Fort Pierce,Fort Pierce,4.8,13.0
Business,Fort Pierce,Fort Pierce,4.7,14.0
Business,Fort Pierce,West Palm Beach,63.7,67.0
Business,West Palm Beach,West Palm Beach,4.3,4.0
Business,West Palm Beach,Palm Beach,7.1,5.0
Business,Cary,Cary,0.8,6.0
Business,Cary,Morrisville,8.3,20.0
Business,Jamaica,New York,16.5,27.0
Business,New York,Queens,10.8,43.0
Business,Elmhurst,New York,7.5,35.0
Business,Midtown,East Harlem,6.2,20.0
Business,East Harlem,NoMad,6.4,26.0
Business,Flatiron District,Midtown,1.6,7.0
Business,Midtown,Midtown East,1.7,14.0
Business,Midtown East,Midtown,1.9,13.0
Business,Midtown,Hudson Square,1.9,16.0
Business,Hudson Square,Lower Manhattan,4.0,16.0
Business,Lower Manhattan,Hudson Square,1.8,14.0
Business,Hudson Square,Hell's Kitchen,2.4,15.0
Business,Hell's Kitchen,Midtown,2.0,12.0
Business,New York,Queens County,15.1,58.0
Business,Downtown,Gulfton,11.2,13.0
Business,Gulfton,Downtown,11.8,28.0
Business,Houston,Houston,21.9,36.0
Business,Eagan Park,Jamestown Court,3.9,6.0
Business,Morrisville,Cary,8.0,20.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,10.4,18.0
Business,Cary,Cary,4.8,11.0
Business,Farmington Woods,Whitebridge,4.7,11.0
Business,Whitebridge,Lake Wellingborough,7.2,14.0
Business,Lake Wellingborough,Whitebridge,7.6,14.0
Business,Cary,Raleigh,17.1,35.0
Business,Fayetteville Street,Umstead,15.1,31.0
Business,Raleigh,Cary,40.2,54.0
Business,Cary,Cary,1.6,4.0
Business,Cary,Cary,2.4,8.0
Business,Cary,Cary,1.0,5.0
Business,Whitebridge,Hazelwood,2.0,9.0
Business,Hazelwood,Whitebridge,2.3,8.0
Business,Whitebridge,Westpark Place,1.9,8.0
Business,Cary,Cary,1.4,5.0
Business,Cary,Cary,0.5,2.0
Business,Cary,Cary,1.8,7.0
Business,Cary,Raleigh,18.7,29.0
Business,Fairmont,Meredith Townes,3.4,10.0
Business,Raleigh,Raleigh,2.7,8.0
Business,Raleigh,Cary,12.9,22.0
Business,Cary,Raleigh,19.0,32.0
Business,Meredith Townes,Leesville Hollow,14.7,20.0
Business,Raleigh,Cary,15.7,30.0
Business,Cary,Cary,4.6,14.0
Business,Cary,Cary,5.2,11.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,10.1,23.0
Business,Cary,Apex,5.8,21.0
Business,Apex,Cary,5.5,19.0
Business,Cary,Apex,5.7,12.0
